#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
1483;J1710-4148;J1710-4148;17:10:23.7;-41:48:19;0.286561;1.02e-16;461.00;*;*;*;7.193;7.193;*;1.60e+01;4.45e+07;1.73e+11;1.71e+32;3.31e+30;
1484;J1710+4923;J1710+4923;17:10:04.4;+49:23:11.4;0.003220;1.82e-20;7.08;*;12.00;*;0.506;0.506;*;*;2.80e+09;2.45e+08;2.15e+34;8.41e+34;
1485;B1709-15;J1711-1509;17:11:55.0;-15:09:39.7;0.868804;1.10e-15;59.88;*;8.00;*;1.081;1.081;6.89e+00;8.18e-01;1.25e+07;9.90e+11;6.64e+31;5.68e+31;
1486;J1711-3826;J1711-3826;17:11:44.4;-38:26:14;0.465365;7.41e-15;376.00;*;*;*;4.146;4.146;*;2.75e+00;9.95e+05;1.88e+12;2.90e+33;1.69e+32;
1487;J1711-4322;J1711-4322;17:11:10.5;-43:22:53.1;0.102618;2.67e-17;191.50;*;*;*;3.986;3.986;*;4.13e+00;6.10e+07;5.29e+10;9.74e+32;6.13e+31;
1488;B1707-53;J1711-5350;17:11:53.1;-53:50:18.3;0.899233;1.55e-14;106.10;*;-4.50;*;4.498;4.498;1.82e+02;1.69e+01;9.17e+05;3.78e+12;8.44e+32;4.17e+31;
1489;J1712-2715;J1712-2715;17:12:11.7;-27:15:53;0.255360;1.28e-15;91.78;*;*;*;3.118;3.118;*;*;3.16e+06;5.78e+11;3.03e+33;3.12e+32;
1490;J1712-391;J1712-391;17:12:35;-39:43;0.778149;*;525.00;*;*;*;4.355;4.355;*;*;*;*;*;*;
1491;J1712-392;J1712-392;17:12:35;-39:43;0.092528;*;713.00;*;*;*;4.843;4.843;*;*;*;*;*;*;
1492;J1713+0747;J1713+0747;17:13:49.5;+07:47:37.4;0.004570;8.53e-21;15.99;-0.000;10.88;54303.6340;1.311;0.919;1.17e+01;1.43e+01;8.49e+09;2.00e+08;3.53e+33;2.05e+33;
1493;J1713-3844;J1713-3844;17:13:02.3;-38:44:29;1.600114;1.77e-13;544.00;*;*;*;4.426;4.426;*;5.09e+00;1.43e+05;1.70e+13;1.71e+33;8.73e+31;
1494;J1713-3949;J1713-3949;17:13:28;-39:49;0.392451;*;342.00;*;*;*;3.885;3.885;*;5.28e+00;*;*;*;*;
1495;J1713+7810;J1713+7810;17:13:27.0;+78:10:33.9;0.432526;1.14e-16;36.98;*;*;*;4.580;4.580;*;*;6.01e+07;2.25e+11;5.56e+31;2.65e+30;
1496;J1714-1054;J1714-1054;17:14:40.1;-10:54:10.9;0.696279;5.88e-17;51.00;*;*;*;0.215;0.215;*;2.31e-02;1.88e+08;2.05e+11;6.88e+30;1.49e+32;
1497;J1714-3810;J1714-3810;17:14:05.7;-38:10:30.9;3.824936;5.88e-11;*;*;*;*;13.200;*;*;*;1.03e+03;4.80e+14;4.15e+34;2.38e+32;
1498;J1714-3830;J1714-3830;17:14:19.8;-38:30:23;0.084140;*;*;*;*;*;*;*;*;*;*;*;*;*;
1499;J1715-3247;J1715-3247;17:15:23.4;-32:47:30;1.260214;9.20e-17;164.00;*;*;*;4.047;4.047;*;1.31e+00;2.17e+08;3.45e+11;1.81e+30;1.11e+29;
1500;J1715-3700;J1715-3700;17:15:09.6;-37:00:04;0.779628;1.46e-16;449.00;*;*;*;5.013;5.013;*;9.30e+00;8.47e+07;3.41e+11;1.22e+31;4.84e+29;
1501;J1715-3859;J1715-3859;17:15:37.8;-38:59:25.1;0.928108;4.40e-15;806.20;*;571.00;*;5.158;5.158;*;1.44e+01;3.34e+06;2.04e+12;2.17e+32;8.16e+30;
1502;J1715-3903;J1715-3903;17:15:14.0;-39:02:57.1;0.278494;3.74e-14;314.00;*;228.00;*;3.737;3.737;*;9.22e+00;1.18e+05;3.27e+12;6.84e+34;4.90e+33;
1503;J1715-4034;J1715-4034;17:15:40.9;-40:34:18;2.072155;3.03e-15;254.00;*;-483.90;*;3.917;3.917;*;2.92e+01;1.08e+07;2.54e+12;1.35e+31;8.77e+29;
1504;J1715-4254;J1715-4254;17:15:10.5;-42:54:54;0.573745;8.76e-16;407.00;*;*;*;18.772;18.772;*;2.47e+01;1.04e+07;7.17e+11;1.83e+32;5.19e+29;
1505;J1715+46;J1715+46;17:15:48;+46:03;0.548100;*;19.82;*;*;*;1.754;1.754;*;*;*;*;*;*;
1506;J1716+34;J1716+34;17:16:08;+34:36:11;0.002110;*;*;*;*;*;*;*;*;*;*;*;*;*;
1507;J1716-3720;J1716-3720;17:16:11.3;-37:20:44;0.630314;1.80e-14;682.70;*;-64.00;*;5.375;5.375;*;1.18e+01;5.56e+05;3.41e+12;2.83e+33;9.81e+31;
1508;J1716-4005;J1716-4005;17:16:42.0;-40:05:27;0.311813;2.87e-15;435.00;*;-526.00;*;5.418;5.418;*;5.25e+01;1.72e+06;9.57e+11;3.74e+33;1.27e+32;
1509;J1716-4111;J1716-4111;17:16:44.3;-41:11:09.5;1.036067;2.88e-15;245.80;*;*;*;4.387;4.387;*;4.23e+00;5.70e+06;1.75e+12;1.02e+32;5.32e+30;
1510;J1716-4711;J1716-4711;17:16:01.1;-47:11:00.9;0.555824;8.33e-16;287.06;*;-221.80;*;21.907;21.907;*;1.44e+02;1.06e+07;6.89e+11;1.92e+32;3.99e+29;
1511;J1717+03;J1717+03;17:17:56;+03:11;3.901000;*;25.60;*;*;*;1.238;1.238;*;*;*;*;*;*;
1512;B1714-34;J1717-3425;17:17:20.2;-34:24:59.6;0.656299;9.80e-15;583.46;*;-191.00;*;25.000;25.000;*;2.44e+03;1.06e+06;2.57e+12;1.37e+33;2.19e+30;
1513;J1717-3737;J1717-3737;17:17:15.9;-37:37:36;0.682419;5.29e-15;522.70;*;*;*;4.334;4.334;*;1.30e+01;2.04e+06;1.92e+12;6.58e+32;3.50e+31;
1514;J1717-3847;J1717-3847;17:17:18.4;-38:47:03;1.149499;8.20e-16;707.00;*;*;*;5.012;5.012;*;7.54e+00;2.22e+07;9.82e+11;2.13e+31;8.48e+29;
1515;J1717-3953;J1717-3953;17:17:25.5;-39:53:55;1.085521;3.30e-17;466.00;*;-485.00;*;6.537;6.537;*;6.41e+01;5.21e+08;1.92e+11;1.02e+30;2.38e+28;
1516;J1717-4043;J1717-4043;17:17:47.9;-40:43:50;0.397857;1.22e-14;452.60;*;-993.00;*;14.244;14.244;*;1.10e+02;5.15e+05;2.23e+12;7.67e+33;3.78e+31;
1517;J1717-40435;J1717-40435;17:17:02.0;-40:43:31;0.349929;1.75e-15;539.00;*;*;*;16.635;16.635;*;1.13e+02;3.17e+06;7.92e+11;1.61e+33;5.83e+30;
1518;B1713-40;J1717-4054;17:17:52.3;-41:03:17.8;0.887719;3.70e-15;306.90;*;-809.00;*;7.283;7.283;7.96e+02;5.83e+01;3.80e+06;1.83e+12;2.09e+32;3.94e+30;
1519;J1717+4308A;J1717+4308A;17:17:06.4;+43:08:03.4;0.003160;6.11e-20;35.45;*;*;58353.5491;8.500;25.000;*;*;8.19e+08;4.45e+08;7.65e+34;1.06e+33;
1520;J1717-5800;J1717-5800;17:17:35.6;-58:00:05.4;0.321793;1.96e-16;125.22;*;39.00;*;11.223;11.223;*;6.30e+01;2.61e+07;2.54e+11;2.32e+32;1.84e+30;
1521;J1718-3714;J1718-3714;17:18:18.5;-37:14:16;1.289379;2.62e-14;833.00;*;*;*;5.326;5.326;*;6.52e+00;7.79e+05;5.88e+12;4.83e+32;1.70e+31;
1522;J1718-3718;J1718-3718;17:18:09.8;-37:18:51.5;3.378574;1.61e-12;371.10;*;-160.00;*;3.918;3.918;*;6.14e+00;3.32e+04;7.47e+13;1.65e+33;1.08e+32;
1523;J1718-3825;J1718-3825;17:18:13.5;-38:25:18.0;0.074670;1.32e-14;247.46;*;113.00;*;3.488;3.488;*;2.07e+01;8.95e+04;1.01e+12;1.25e+36;1.03e+35;
1524;J1718-41;J1718-41;17:18:12;-41:07;0.548419;*;354.00;*;*;*;11.597;11.597;*;9.41e+00;*;*;*;*;
1525;J1718-4539;J1718-4539;17:18:11.9;-45:39:15.9;0.590473;7.51e-15;254.00;*;*;*;13.803;13.803;*;1.52e+01;1.25e+06;2.13e+12;1.44e+33;7.56e+30;
1526;J1719-1438;J1719-1438;17:19:10.0;-14:38:00.9;0.005790;8.04e-21;36.78;*;17.27;*;0.336;0.336;*;4.85e-02;1.14e+10;2.18e+08;1.64e+33;1.45e+34;
1527;J1719-2330;J1719-2330;17:19:36.1;-23:30:14;0.453993;2.19e-15;101.00;*;*;*;4.274;4.274;*;2.92e+00;3.29e+06;1.01e+12;9.22e+32;5.05e+31;
1528;J1719-3458;J1719-3458;17:19:12.1;-34:58:22.4;0.493775;1.49e-17;530.00;*;*;*;16.425;16.425;*;*;5.25e+08;8.68e+10;4.89e+30;1.81e+28;
1529;B1715-40;J1719-4006;17:19:01.7;-40:06:59.5;0.189094;1.67e-15;386.12;*;-204.00;*;9.783;9.783;*;1.34e+02;1.80e+06;5.68e+11;9.74e+33;1.02e+32;
1530;J1719-4302;J1719-4302;17:19:48.7;-43:02:11.4;0.235475;3.92e-16;297.70;*;-551.20;*;13.437;13.437;*;6.68e+01;9.52e+06;3.07e+11;1.19e+33;6.57e+30;
1531;J1720+00;J1720+00;17:20:55;+00:40;3.357000;*;46.20;*;*;*;2.555;2.555;*;*;*;*;*;*;
1532;B1718-02;J1720-0212;17:20:57.2;-02:12:23.9;0.477715;8.28e-17;66.98;*;6.00;*;2.357;2.357;1.22e+02;5.56e+00;9.14e+07;2.01e+11;3.00e+31;5.40e+30;
1533;B1717-16;J1720-1633;17:20:25.2;-16:33:33.7;1.565601;5.80e-15;44.83;*;-12.00;*;0.988;0.988;1.27e+01;1.07e+00;4.28e+06;3.05e+12;5.96e+31;6.11e+31;
1534;J1720+2150;J1720+2150;17:20:01.3;+21:50:12.8;1.615664;7.40e-16;40.72;*;52.94;*;5.583;5.583;7.48e+01;*;3.46e+07;1.11e+12;6.93e+30;2.22e+29;
1535;J1720-2446;J1720-2446;17:20:22.4;-24:46:27;0.874265;5.93e-16;104.30;*;*;*;3.877;3.877;*;*;2.34e+07;7.29e+11;3.50e+31;2.33e+30;
1536;B1717-29;J1720-2933;17:20:34.1;-29:33:16.2;0.620448;7.46e-16;42.64;*;10.00;*;1.095;1.095;3.84e+01;2.03e+00;1.32e+07;6.88e+11;1.23e+32;1.03e+32;
1537;J1720-36;J1720-36;17:20:54;-36:53;0.092132;*;341.00;*;*;*;3.783;3.783;*;1.14e+00;*;*;*;*;
1538;J1720-3659;J1720-3659;17:20:01.9;-36:59:06.5;0.351125;3.27e-17;378.97;*;-99.00;*;3.909;3.909;*;1.13e+01;1.70e+08;1.08e+11;2.98e+31;1.95e+30;
1539;B1718-19;J1721-1936;17:21:01.4;-19:36:51;1.004037;1.62e-15;75.70;*;*;*;8.010;3.071;3.21e+01;1.92e+01;9.80e+06;1.29e+12;6.33e+31;9.87e+29;
1540;J1721-1939;J1721-1939;17:21:46.6;-19:39:49;0.404040;1.28e-16;103.00;*;*;*;5.621;5.621;*;*;4.99e+07;2.30e+11;7.68e+31;2.43e+30;
1541;J1721-2457;J1721-2457;17:21:05.4;-24:57:06.1;0.003497;5.54e-21;48.23;*;-37.70;*;1.393;1.393;*;1.13e+00;1.00e+10;1.41e+08;5.12e+33;2.64e+33;
1542;B1718-35;J1721-3532;17:21:32.7;-35:32:49.6;0.280424;2.52e-14;496.82;*;167.00;*;4.600;4.709;*;3.55e+02;1.76e+05;2.69e+12;4.51e+34;2.13e+33;
1543;B1718-32;J1722-3207;17:22:02.9;-32:07:45.3;0.477158;6.45e-16;126.06;*;70.40;*;2.928;2.928;5.23e+02;4.63e+01;1.17e+07;5.61e+11;2.34e+32;2.73e+31;
1544;J1722+35;J1722+35;17:22:06;+35:18;0.821600;*;23.83;*;33.11;*;2.196;2.196;*;*;*;*;*;*;
1545;B1718-36;J1722-3632;17:22:09.8;-36:32:53.3;0.399183;4.46e-15;416.20;*;-332.00;*;3.992;3.992;*;4.62e+01;1.42e+06;1.35e+12;2.77e+33;1.74e+32;
1546;B1719-37;J1722-3712;17:22:59.2;-37:12:04.5;0.236180;1.09e-14;99.49;*;104.00;*;2.477;2.477;1.53e+02;2.33e+01;3.44e+05;1.62e+12;3.26e+34;5.31e+33;
1547;J1722-4400;J1722-4400;17:22:46.5;-44:00:33.2;0.218554;3.74e-16;219.30;*;-302.80;*;9.068;9.068;*;1.81e+01;9.26e+06;2.89e+11;1.41e+33;1.72e+31;
1548;J1723-2837;J1723-2837;17:23:23.1;-28:37:57.1;0.001856;7.54e-21;19.69;*;*;*;0.928;0.720;*;9.48e-01;3.90e+09;1.20e+08;4.66e+34;5.40e+34;
1549;J1723-2852;J1723-2852;17:23:58.2;-28:52:51;0.625034;9.00e-16;172.00;*;*;*;4.768;4.768;*;2.96e+00;1.10e+07;7.59e+11;1.46e+32;6.40e+30;
1550;J1723-3659;J1723-3659;17:23:07.5;-36:59:14.2;0.202725;8.03e-15;254.40;*;-219.00;*;3.497;3.497;*;2.57e+01;4.00e+05;1.29e+12;3.80e+34;3.11e+33;
1551;J1723-38;J1723-38;17:23;-38:20;0.765796;*;472.00;*;*;*;6.842;6.842;*;3.75e+00;*;*;*;*;
1552;J1724-3149;J1724-3149;17:24:44.8;-31:49:04;0.948237;7.25e-15;400.80;*;25.00;*;17.898;17.898;*;1.15e+02;2.07e+06;2.65e+12;3.36e+32;1.05e+30;
1553;J1724-35;J1724-35;17:24:43;-35:49;1.421990;*;554.90;*;*;*;4.330;4.330;*;*;*;*;*;*;
1554;J1724-3505;J1724-3505;17:24:47.8;-35:05:36;1.221708;2.11e-14;875.00;*;*;*;6.775;6.775;*;1.10e+01;9.17e+05;5.14e+12;4.57e+32;9.95e+30;
1555;J1724-4500;J1724-4500;17:24:25.8;-45:00:15;1.309109;3.51e-15;182.00;*;*;*;7.366;7.366;*;2.71e+00;5.90e+06;2.17e+12;6.18e+31;1.14e+30;
1556;J1725-0732;J1725-0732;17:25:12.2;-07:32:59.2;0.239919;4.30e-16;58.72;*;*;*;0.203;0.203;*;4.53e-03;8.85e+06;3.25e+11;1.23e+33;2.98e+34;
1557;J1725-2852;J1725-2852;17:25:09.9;-28:52:22;1.257788;1.99e-15;161.00;*;*;*;4.251;4.251;*;4.52e+00;1.00e+07;1.60e+12;3.95e+31;2.19e+30;
1558;J1725-3546;J1725-3546;17:25:42.2;-35:46:16;1.032471;1.50e-14;738.30;*;*;*;4.784;4.784;*;1.40e+01;1.09e+06;3.98e+12;5.38e+32;2.35e+31;
1559;J1725-3848;J1725-3848;17:25:00.1;-38:48:36;2.062386;2.30e-14;230.00;*;*;*;4.141;4.141;*;2.40e+00;1.42e+06;6.97e+12;1.04e+32;6.04e+30;
1560;J1725-3853;J1725-3853;17:25:27.2;-38:53:04.2;0.004792;5.00e-20;158.20;*;*;*;3.142;3.142;*;*;1.52e+09;4.95e+08;1.79e+34;1.82e+33;
1561;J1725-4043;J1725-4043;17:25:41.4;-40:43:11;1.465071;2.79e-15;203.00;*;*;*;4.465;4.465;*;6.78e+00;8.32e+06;2.05e+12;3.50e+31;1.76e+30;
1562;J1726-00;J1726-00;17:26:23;-00:15;1.308600;*;57.00;*;*;*;3.049;3.049;*;*;*;*;*;*;
1563;J1726-31;J1726-31;17:26:36;-31:57;0.123470;*;264.40;*;*;*;5.125;5.125;*;1.05e+01;*;*;*;*;
1564;J1726-3530;J1726-3530;17:26:07.5;-35:29:58;1.110132;1.22e-12;718.00;*;*;*;4.722;4.722;*;8.70e+00;1.45e+04;3.72e+13;3.51e+34;1.57e+33;
1565;J1726-3635;J1726-3635;17:26:49.6;-36:35:45.6;0.287432;1.44e-15;539.20;*;*;*;4.847;4.847;*;6.81e+00;3.16e+06;6.51e+11;2.39e+33;1.02e+32;
1566;J1726-4006;J1726-4006;17:26:33.3;-40:06:02;0.882778;3.33e-15;277.00;*;284.00;*;9.401;9.401;*;1.86e+01;4.20e+06;1.73e+12;1.91e+32;2.16e+30;
1567;J1726-52;J1726-52;17:26;-52:00;0.631800;*;119.70;*;*;*;6.724;6.724;*;*;*;*;*;*;
1568;J1727-1609;J1727-1609;17:28:03;-16:11:10;0.002450;*;*;*;*;*;*;*;*;*;*;*;*;*;
1569;J1727-2739;J1727-2739;17:27:30.9;-27:38:53;1.293100;1.07e-15;146.00;*;-8.00;*;3.959;3.959;*;2.66e+01;1.91e+07;1.19e+12;1.95e+31;1.25e+30;
1570;J1727-29;J1727-29;17:27:19;-29:59;*;*;93.00;*;*;*;2.613;2.613;*;*;*;*;*;*;
1571;J1727-2946;J1727-2946;17:27:15.0;-29:46:36.7;0.027083;2.46e-19;60.73;*;-90.30;54711.4717;1.881;1.881;*;9.38e-01;1.74e+09;2.61e+09;4.90e+32;1.38e+32;
1572;J1727-2951;J1727-2951;17:27:00.4;-29:51:40.8;0.028405;3.10e-19;215.10;*;*;*;5.415;5.415;*;1.51e+01;1.45e+09;3.00e+09;5.34e+32;1.82e+31;
1573;B1726-00;J1728-0007;17:28:34.8;-00:07:45.0;0.386004;1.12e-15;41.09;*;20.00;*;1.459;1.459;2.34e+01;1.39e+00;5.45e+06;6.66e+11;7.71e+32;3.62e+32;
1574;J1728-3733;J1728-3733;17:28:46.2;-37:33:08;0.615538;7.20e-17;281.50;*;*;*;4.557;4.557;*;3.95e+00;1.35e+08;2.13e+11;1.22e+31;5.87e+29;
1575;J1728-4028;J1728-4028;17:28:27.6;-40:28:10;0.866343;2.33e-16;231.00;*;175.00;*;6.904;6.904;*;5.72e+01;5.90e+07;4.54e+11;1.41e+31;2.96e+29;
1576;J1729-2117;J1729-2117;17:29:10.8;-21:17:28;0.066293;1.72e-19;34.22;*;*;*;0.969;0.969;*;1.88e-01;6.11e+09;3.42e+09;2.33e+31;2.48e+31;
1577;J1730-2304;J1730-2304;17:30:21.6;-23:04:31.1;0.008123;2.02e-20;9.63;*;-3.72;*;0.620;0.512;1.65e+01;1.54e+00;6.38e+09;4.10e+08;1.49e+33;3.87e+33;
1578;J1730-2900;J1730-2900;17:30:08.2;-29:00:46;1.538427;8.85e-15;289.00;*;*;*;12.054;12.054;*;1.89e+01;2.75e+06;3.73e+12;9.60e+31;6.61e+29;
1579;B1727-33;J1730-3350;17:30:32.5;-33:50:39.4;0.139460;8.48e-14;261.29;*;-142.00;*;3.488;3.488;1.12e+02;5.23e+01;2.60e+04;3.48e+12;1.23e+36;1.01e+35;
1580;J1730-3353;J1730-3353;17:30:55.5;-33:53:38;3.270242;2.20e-14;256.00;*;-125.00;*;3.460;3.460;*;4.55e+00;2.36e+06;8.57e+12;2.48e+31;2.07e+30;
1581;J1730-34;J1730-34;17:30:06;-34:48;0.099830;*;628.00;*;*;*;4.566;4.566;*;6.25e-01;*;*;*;*;
1582;J1731-1847;J1731-1847;17:31:17.6;-18:47:32.6;0.002345;2.54e-20;106.47;*;21.50;55132.4363;4.782;4.782;*;8.69e+00;1.46e+09;2.47e+08;7.78e+34;3.40e+33;
1583;J1731-3123;J1731-3123;17:31:00.5;-31:23:43;0.753048;1.68e-15;354.50;*;*;*;7.285;7.285;*;1.54e+01;7.11e+06;1.14e+12;1.55e+32;2.92e+30;
1584;J1731-33;J1731-33;17:31:48;-33:48;0.606900;*;571.00;*;*;*;4.341;4.341;*;*;*;*;*;*;
1585;J1731-3322;J1731-3322;17:31:14.3;-33:22:45;0.544671;2.81e-14;877.40;*;*;*;5.552;5.552;*;3.08e+00;3.07e+05;3.96e+12;6.86e+33;2.23e+32;
1586;B1727-47;J1731-4744;17:31:42.1;-47:44:36.2;0.829829;1.64e-13;123.06;*;-443.00;*;0.700;5.540;9.31e+01;1.32e+01;8.04e+04;1.18e+13;1.13e+34;2.31e+34;
1587;J1732-1930;J1732-1930;17:32:20.0;-19:30:09;0.483770;1.82e-16;72.43;*;*;*;2.634;2.634;7.63e+01;2.08e+00;4.22e+07;3.00e+11;6.34e+31;9.14e+30;
1588;J1732-3131;J1732-3131;17:32:33.5;-31:31:23;0.196543;2.80e-14;15.44;*;*;*;0.640;0.640;*;*;1.11e+05;2.38e+12;1.46e+35;3.56e+35;
1589;J1732-3426;J1732-3426;17:32:07.1;-34:26:05;0.332887;4.02e-16;513.50;*;*;*;4.333;4.333;*;4.51e+00;1.31e+07;3.70e+11;4.30e+32;2.29e+31;
1590;J1732-35;J1732-35;17:32:30;-35:05;0.126690;*;340.00;*;*;*;4.042;4.042;*;2.12e+00;*;*;*;*;
1591;J1732-3729;J1732-3729;17:32:20.8;-37:29:05;2.184001;1.30e-15;317.00;*;*;*;10.938;10.938;*;3.71e+01;2.66e+07;1.71e+12;4.93e+30;4.12e+28;
1592;B1729-41;J1732-4128;17:32:50.0;-41:28:48;0.627981;1.28e-14;195.30;*;-198.00;*;7.235;7.235;4.71e+02;5.76e+01;7.75e+05;2.87e+12;2.05e+33;3.91e+31;
1593;J1732-4156;J1732-4156;17:32:48.8;-41:56:29.6;0.323434;6.61e-16;228.70;*;-78.00;*;11.528;11.528;*;2.92e+01;7.75e+06;4.68e+11;7.71e+32;5.80e+30;
1594;J1732-5049;J1732-5049;17:32:47.7;-50:49:00.1;0.005313;1.42e-20;56.82;0.001;-8.20;*;1.873;1.873;*;7.40e+00;5.93e+09;2.78e+08;3.74e+33;1.07e+33;
1595;J1733-01;J1733-01;17:33;-01;0.302000;*;61.98;*;*;*;2.759;2.759;*;*;*;*;*;*;
1596;B1730-22;J1733-2228;17:33:26.4;-22:28:37;0.871683;4.27e-17;41.14;*;-12.00;*;1.105;1.105;3.05e+01;5.14e+00;3.23e+08;1.95e+11;2.55e+30;2.08e+30;
1597;J1733-2533;J1733-2533;17:33:25.8;-25:33:11;0.659794;2.10e-15;242.00;*;*;*;12.040;12.040;*;1.45e+01;4.98e+06;1.19e+12;2.89e+32;1.99e+30;
1598;J1733-2837;J1733-2837;17:33:33.9;-28:37:33;0.768185;1.11e-15;225.00;*;*;*;4.740;4.740;*;1.57e+00;1.10e+07;9.33e+11;9.65e+31;4.29e+30;
1599;J1733-3030;J1733-3030;17:33:58.8;-30:30:49;0.362052;1.65e-15;636.00;*;*;*;20.614;20.614;*;8.50e+01;3.48e+06;7.82e+11;1.37e+33;3.23e+30;
1600;J1733-3322;J1733-3322;17:33:55.2;-33:22:03;1.245915;4.10e-15;524.00;*;-24.00;*;4.237;4.237;*;1.44e+01;4.81e+06;2.29e+12;8.37e+31;4.67e+30;
1601;B1730-37;J1733-3716;17:33:26.7;-37:16:55.2;0.337595;1.50e-14;153.18;*;-335.00;*;3.150;3.150;*;3.57e+01;3.56e+05;2.28e+12;1.54e+34;1.56e+33;
1602;J1733-4005;J1733-4005;17:33:58.6;-40:05:39.7;0.561778;3.62e-15;317.80;*;-225.30;*;19.225;19.225;*;1.81e+02;2.46e+06;1.44e+12;8.07e+32;2.18e+30;
1603;J1733-5515;J1733-5515;17:33:00.4;-55:15:40;1.011234;4.00e-16;83.90;*;*;*;4.217;4.217;*;5.33e+00;4.01e+07;6.44e+11;1.53e+31;8.59e+29;
1604;B1732-02;J1734-0212;17:34:45.6;-02:12:39.1;0.839394;4.21e-16;65.05;*;48.00;*;1.798;1.798;1.84e+01;9.02e-01;3.16e+07;6.02e+11;2.81e+31;8.69e+30;
1605;J1734-2415;J1734-2415;17:34:41.6;-24:15:20;0.612524;1.05e-15;126.30;*;*;*;3.436;3.436;*;3.42e+00;9.24e+06;8.12e+11;1.80e+32;1.53e+31;
1606;J1734-2859;J1734-2859;17:34:00.1;-28:59:53.4;0.301456;8.00e-18;313.90;*;*;*;11.352;11.352;*;1.68e+01;5.97e+08;4.97e+10;1.15e+31;8.95e+28;
1607;J1734-3058;J1734-3058;17:34:50.8;-30:58:41.4;0.541286;1.62e-17;260.00;*;*;*;3.744;3.744;*;1.54e+00;5.29e+08;9.48e+10;4.03e+30;2.88e+29;
1608;J1734-3333;J1734-3333;17:34:26.9;-33:33:20;1.169341;2.28e-12;578.00;*;156.00;*;4.461;4.461;*;1.41e+01;8.13e+03;5.22e+13;5.63e+34;2.83e+33;
1609;J1735-0243;J1735-0243;17:35:48.1;-02:43:48;0.782887;6.32e-16;54.90;*;28.30;*;0.992;0.992;*;*;1.96e+07;7.12e+11;5.20e+31;5.28e+31;
1610;B1732-07;J1735-0724;17:35:04.9;-07:24:52.1;0.419335;1.21e-15;73.51;*;34.50;*;6.667;0.213;8.00e+02;1.23e+02;5.47e+06;7.22e+11;6.50e+32;1.46e+31;
1611;J1735-3258;J1735-3258;17:35:56.9;-32:58:21.8;0.350972;2.60e-14;758.00;*;*;*;4.974;4.974;*;8.66e+00;2.14e+05;3.06e+12;2.37e+34;9.60e+32;
1612;J1735+6320;J1735+6320;17:35:06.5;+63:20:00.0;0.510718;3.23e-16;41.85;*;*;*;25.000;25.000;3.75e+02;*;2.51e+07;4.11e+11;9.56e+31;1.53e+29;
1613;J1736+05;J1736+05;17:36:54;+05:48;0.999245;*;42.00;*;44.00;*;2.494;2.494;*;*;*;*;*;*;
1614;J1736-2457;J1736-2457;17:36:45.4;-24:57:50;2.642223;3.43e-15;169.40;*;-106.70;*;4.483;4.483;*;1.69e+01;1.22e+07;3.05e+12;7.34e+30;3.65e+29;
1615;J1736-2819;J1736-2819;17:36:24.7;-28:19:42;1.592419;1.49e-14;261.00;*;*;*;6.012;6.012;*;5.78e+00;1.69e+06;4.93e+12;1.46e+32;4.04e+30;
1616;J1736-2843;J1736-2843;17:36:42.5;-28:43:51;6.445036;3.00e-14;331.00;*;-491.30;*;10.415;10.415;*;4.66e+01;3.40e+06;1.41e+13;4.42e+30;4.08e+28;
1617;J1736-3422;J1736-3422;17:36;-34:22;0.347222;6.56e-14;*;*;*;*;*;*;*;*;8.39e+04;4.83e+12;6.19e+34;*;
1618;J1736-3511;J1736-3511;17:36:02.7;-35:11:56;0.502803;1.57e-15;106.00;*;*;*;2.626;2.626;*;1.24e+00;5.07e+06;8.99e+11;4.88e+32;7.07e+31;
1619;J1737-0314A;J1737-0314A;17:37:35.8;-03:14:34.7;0.001980;9.56e-20;82.10;*;*;58681.7065;9.140;2.093;*;*;3.28e+08;4.40e+08;4.86e+35;5.82e+33;
1620;J1737-0314B;J1737-0314B;17:37:36.1;-03:14:45;0.008520;*;81.00;*;*;*;9.140;1.987;*;*;*;*;*;*;
1621;J1737-0314C;J1737-0314C;17:37:36.1;-03:14:45;0.008460;*;80.00;*;*;*;9.140;1.896;*;*;*;*;*;*;
1622;J1737-0314D;J1737-0314D;17:37:36.1;-03:14:45;0.002890;*;78.80;*;*;*;9.140;1.788;*;*;*;*;*;*;
1623;J1737-0314E;J1737-0314E;17:37:36.1;-03:14:45;0.002280;*;80.40;*;*;*;9.140;1.932;*;*;*;*;*;*;
1624;J1737-0811;J1737-0811;17:37:47.1;-08:11:08.8;0.004175;7.93e-21;55.31;*;64.86;54696.8798;0.206;0.206;*;4.54e-02;8.34e+09;1.84e+08;4.30e+33;1.01e+35;
1625;J1737-3102;J1737-3102;17:37:33.7;-31:02:00.5;0.768672;3.73e-14;280.00;*;-59.00;*;3.602;3.602;*;7.78e+00;3.26e+05;5.42e+12;3.25e+33;2.50e+32;
1626;J1737-3137;J1737-3137;17:37:04.2;-31:37:21;0.450432;1.39e-13;488.10;*;449.60;*;4.162;4.162;*;1.52e+01;5.14e+04;8.00e+12;5.99e+34;3.46e+33;
