#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
55;J0054+66;J0054+66;00:54;+66;1.390000;*;15.00;*;*;*;0.901;0.901;*;*;*;*;*;*;
56;J0054+69;J0054+69;00:54:28;+69:26;*;*;90.30;*;*;*;2.347;2.347;*;*;*;*;*;*;
57;J0054+6946;J0054+6946;00:54:59.1;+69:46:16.8;0.832911;7.19e-16;116.52;*;*;*;2.758;2.758;*;*;1.83e+07;7.83e+11;4.92e+31;6.46e+30;
58;B0052+51;J0055+5117;00:55:45.3;+51:17:24.6;2.115171;9.54e-15;44.01;*;-64.09;*;2.857;1.935;2.78e+01;1.22e+01;3.51e+06;4.55e+12;3.98e+31;4.87e+30;
59;B0053+47;J0056+4756;00:56:25.5;+47:56:10.5;0.472037;3.33e-15;18.14;*;-34.16;*;1.123;1.123;3.78e+00;*;2.25e+06;1.27e+12;1.25e+33;9.91e+32;
60;J0057-7201;J0057-7201;00:57:44.0;-72:01:19;0.738062;1.00e-16;27.00;*;*;*;3.476;3.476;*;*;1.17e+08;2.75e+11;9.82e+30;8.13e+29;
61;J0058+4950;J0058+4950;00:58:09.9;+49:50:26.0;0.996023;8.04e-16;66.95;*;*;*;2.646;2.646;*;*;1.96e+07;9.05e+11;3.21e+31;4.59e+30;
62;J0058+6125;J0058+6125;00:58;+61:25;0.637000;*;128.30;*;-212.00;*;2.597;2.597;*;*;*;*;*;*;
63;J0058-7218;J0058-7218;00:58:16.7;-72:18:06;0.021766;2.89e-14;*;*;*;*;59.700;*;*;*;1.19e+04;8.03e+11;1.11e+38;3.10e+34;
64;J0059+69;J0059+69;00:59:30;+69:55;1.145900;*;63.53;*;*;*;2.048;2.048;*;*;*;*;*;*;
65;J0100-7211;J0100-7211;01:00:43.0;-72:11:33.6;8.020392;1.88e-11;*;*;*;*;59.700;*;*;*;6.76e+03;3.93e+14;1.44e+33;4.04e+29;
66;J0100+8023;J0100+8023;01:00:16.0;+80:23:41.7;1.493601;3.54e-16;56.01;*;*;*;2.848;2.848;*;*;6.68e+07;7.36e+11;4.20e+30;5.18e+29;
67;J0101-6422;J0101-6422;01:01:11.1;-64:22:30.1;0.002573;5.16e-21;11.92;*;20.00;55162.4012;1.001;1.001;*;1.56e-01;7.90e+09;1.17e+08;1.20e+34;1.19e+34;
68;J0102+4839;J0102+4839;01:02:50.6;+48:39:42.7;0.002960;1.17e-20;53.50;*;*;*;2.310;2.310;2.67e+00;*;4.01e+09;1.88e+08;1.78e+34;3.34e+33;
69;B0059+65;J0102+6537;01:02:32.9;+65:37:13.4;1.679164;5.95e-15;65.85;*;-94.00;*;2.500;1.978;5.31e+01;7.50e+00;4.47e+06;3.20e+12;4.97e+31;7.94e+30;
70;J0103+54;J0103+54;01:03:37;+54:02;0.354304;*;55.60;*;*;*;2.010;2.010;*;*;*;*;*;*;
71;J0104+64;J0104+64;01:04;+64;1.386000;*;44.60;*;*;*;1.711;1.711;*;*;*;*;*;*;
72;J0106+4855;J0106+4855;01:06:25.0;+48:55:51.8;0.083157;4.28e-16;70.87;*;*;*;3.063;3.063;*;7.51e-02;3.08e+06;1.91e+11;2.94e+34;3.13e+33;
73;J0107+1322;J0107+1322;01:07:39.9;+13:22:31.7;1.197383;6.87e-16;21.67;*;*;*;2.349;2.349;*;*;2.76e+07;9.18e+11;1.58e+31;2.86e+30;
74;J0108-1431;J0108-1431;01:08:08.3;-14:31:50.1;0.807565;7.70e-17;2.38;*;-0.30;*;0.210;0.232;3.97e-01;6.17e-02;1.66e+08;2.52e+11;5.77e+30;1.31e+32;
75;B0105+65;J0108+6608;01:08:22.5;+66:08:34.4;1.283660;1.31e-14;30.55;*;-27.10;*;2.128;1.461;4.53e+01;4.07e+00;1.56e+06;4.14e+12;2.44e+32;5.38e+31;
76;B0105+68;J0108+6905;01:08:29.5;+69:05:52.6;1.071118;4.81e-17;61.06;*;-33.04;*;1.981;1.981;1.45e+01;1.57e+00;3.53e+08;2.30e+11;1.55e+30;3.94e+29;
77;J0109+11;J0109+11;01:09;+11:32;0.432700;*;17.00;*;*;*;1.566;1.566;*;*;*;*;*;*;
78;J0110-22;J0110-22;01:10;-22;1.262000;*;20.80;*;*;*;25.000;25.000;*;*;*;*;*;*;
79;J0111+6624;J0111+6624;01:11:21.8;+66:24:10.8;4.301872;8.36e-15;111.20;*;*;*;2.412;2.412;*;*;8.15e+06;6.07e+12;4.15e+30;7.13e+29;
80;J0111-7131;J0111-7131;01:11:28.7;-71:31:46.8;0.688542;7.09e-15;79.40;*;*;*;59.700;59.325;*;1.57e+02;1.54e+06;2.24e+12;8.58e+32;2.41e+29;
81;J0113-7220;J0113-7220;01:13:11.0;-72:20:32.2;0.325883;4.86e-15;125.49;*;128.00;*;59.700;60.999;*;6.74e+02;1.06e+06;1.27e+12;5.54e+33;1.56e+30;
82;J0115+6325;J0115+6325;01:15:45.8;+63:25:50.8;0.521455;1.60e-15;65.07;*;*;*;1.931;1.931;*;*;5.17e+06;9.24e+11;4.45e+32;1.19e+32;
83;B0114+58;J0117+5914;01:17:38.6;+59:14:38.3;0.101439;5.85e-15;49.42;*;-8.10;*;1.768;1.768;2.38e+01;9.38e-01;2.75e+05;7.80e+11;2.21e+35;7.08e+34;
84;J0121+53;J0121+53;01:21;+53:29;2.724785;*;91.38;*;*;*;2.644;2.644;*;*;*;*;*;*;
85;J0122+1416;J0122+1416;01:22:01.3;+14:16:17;1.388994;3.80e-15;17.69;*;*;*;1.584;1.584;*;*;5.79e+06;2.33e+12;5.60e+31;2.23e+31;
86;J0125-2327;J0125-2327;01:25:10;-23:27:26;0.003676;*;9.60;*;4.78;*;0.873;0.873;*;1.90e+00;*;*;*;*;
87;J0125+62;J0125+62;01:26;+62:35;1.708233;*;118.00;*;*;*;2.403;2.403;1.96e+01;*;*;*;*;*;
88;J0131-7310;J0131-7310;01:31:28.5;-73:10:09.3;0.348124;1.76e-15;205.22;*;-57.00;*;59.700;100.000;*;2.10e+02;3.13e+06;7.92e+11;1.65e+33;4.62e+29;
89;J0133-6957;J0133-6957;01:33:32.4;-69:57:29.6;0.463474;1.20e-16;22.95;*;7.00;*;2.441;2.441;2.98e+01;1.07e+00;6.12e+07;2.39e+11;4.76e+31;7.99e+30;
90;J0134-2937;J0134-2937;01:34:18.6;-29:37:17.0;0.136962;7.84e-17;21.81;*;13.00;*;25.000;25.000;5.62e+03;2.44e+03;2.77e+07;1.05e+11;1.20e+33;1.93e+30;
91;J0137+1654;J0137+1654;01:37:23.8;+16:54:42.1;0.414763;1.22e-17;26.08;*;-16.80;*;3.061;3.061;1.31e+01;*;5.37e+08;7.21e+10;6.77e+30;7.22e+29;
92;J0137+6349;J0137+6349;01:37:13.3;+63:49:34.3;0.717963;9.60e-16;285.50;*;*;*;9.097;9.097;*;*;1.19e+07;8.40e+11;1.02e+32;1.24e+30;
93;J0139+3336;J0139+3336;01:39:57.2;+33:36:59.7;1.247961;2.06e-15;21.23;*;*;*;1.472;1.472;*;*;9.58e+06;1.62e+12;4.19e+31;1.93e+31;
94;J0139+5621;J0139+5621;01:39:38.5;+56:21:36.8;1.775344;7.91e-14;101.84;*;*;*;2.410;2.410;4.07e+00;1.16e-01;3.56e+05;1.20e+13;5.58e+32;9.61e+31;
95;B0136+57;J0139+5814;01:39:19.7;+58:14:31.8;0.272451;1.07e-14;73.81;*;-94.13;*;2.600;2.006;1.89e+02;3.11e+01;4.03e+05;1.73e+12;2.09e+34;3.09e+33;
96;B0138+59;J0141+6009;01:41:39.9;+60:09:32.3;1.222949;3.91e-16;34.93;*;-47.00;*;2.300;1.498;2.59e+02;2.38e+01;4.95e+07;7.00e+11;8.44e+30;1.60e+30;
97;J0141+63;J0141+63;01:41;+63:08;0.046686;*;272.80;*;*;*;8.774;8.774;1.00e+02;*;*;*;*;*;
98;J0146+31;J0146+31;01:46:15;+31:04;0.938100;*;25.00;*;*;*;1.826;1.826;*;*;*;*;*;*;
99;J0146+6145;J0146+6145;01:46:22.4;+61:45:02.8;8.688994;1.99e-12;*;*;*;*;3.600;*;*;*;6.91e+04;1.33e+14;1.20e+32;9.26e+30;
100;B0144+59;J0147+5922;01:47:44.6;+59:22:03.2;0.196321;2.57e-16;40.11;*;-9.50;*;2.128;1.578;2.99e+01;9.51e+00;1.21e+07;2.27e+11;1.34e+33;2.96e+32;
101;B0148-06;J0151-0635;01:51:22.7;-06:35:02.9;1.464665;4.43e-16;25.66;*;2.00;*;25.000;25.000;2.38e+04;1.00e+03;5.24e+07;8.15e+11;5.56e+30;8.90e+27;
102;J0152+0948;J0152+0948;01:52:23.7;+09:48:10;2.746647;1.70e-15;22.88;*;1.40;*;2.477;2.477;5.58e+00;*;2.56e+07;2.19e+12;3.24e+30;5.28e+29;
103;B0149-16;J0152-1637;01:52:10.8;-16:37:53.6;0.832742;1.30e-15;11.93;*;6.60;*;0.920;0.920;1.69e+01;1.78e+00;1.02e+07;1.05e+12;8.88e+31;1.05e+32;
104;J0154+1833;J0154+1833;01:54:36.8;+18:33:50.7;0.002365;2.92e-21;19.80;0.001;-22.84;*;1.622;1.622;*;2.89e-01;1.28e+10;8.41e+07;8.72e+33;3.31e+33;
105;J0156+04;J0156+04;01:56:01;+04:02;*;*;27.50;*;*;*;25.000;25.000;*;*;*;*;*;*;
106;B0153+39;J0156+3949;01:56:55.2;+39:49:29;1.811561;1.52e-16;59.83;*;-68.58;*;4.916;4.916;9.67e+01;*;1.89e+08;5.30e+11;1.01e+30;4.17e+28;
107;B0154+61;J0157+6212;01:57:49.9;+62:12:26.6;2.351745;1.89e-13;30.21;*;-29.00;*;1.786;1.385;2.07e+01;6.06e+00;1.97e+05;2.13e+13;5.73e+32;1.80e+32;
108;J0158+21;J0158+21;01:58:29;+21:08;0.505300;*;20.00;*;-29.77;*;1.569;1.569;*;*;*;*;*;*;
109;J0201+7005;J0201+7005;02:01:41.3;+70:05:18.1;1.349184;5.51e-15;21.03;*;-39.00;*;1.172;1.172;*;*;3.88e+06;2.76e+12;8.86e+31;6.45e+31;
110;J0203-0150;J0203-0150;02:03:33.9;-01:50:01.5;0.005173;1.43e-20;19.22;*;2.60;59395.8715;1.837;1.837;*;9.11e-01;5.74e+09;2.75e+08;4.07e+33;1.21e+33;
111;J0205+6449;J0205+6449;02:05:37.9;+64:49:41.3;0.065716;1.94e-13;140.70;*;*;*;3.200;2.784;*;4.61e-01;5.37e+03;3.61e+12;2.70e+37;2.63e+36;
112;B0203-40;J0206-4028;02:06:01.2;-40:28:03.6;0.630551;1.20e-15;12.90;*;-4.00;*;1.260;1.260;1.75e+01;1.27e+00;8.35e+06;8.79e+11;1.88e+32;1.19e+32;
